,Male,Female,Infant,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
0,1.0,0.0,0.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,3.0
1,1.0,0.0,0.0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,2.0
2,0.0,1.0,0.0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,2.0
3,1.0,0.0,0.0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,2.0
4,0.0,0.0,1.0,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,2.0
5,0.0,0.0,1.0,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,2.0
6,0.0,1.0,0.0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,4.0
7,0.0,1.0,0.0,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,3.0
8,1.0,0.0,0.0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,2.0
9,0.0,1.0,0.0,0.55,0.44,0.17265624999999998,0.8945,0.3145,0.151,0.32,4.0
10,0.0,1.0,0.0,0.525,0.38515625000000003,0.14,0.6065,0.194,0.1475,0.21,3.0
11,1.0,0.0,0.0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,2.0
12,1.0,0.0,0.0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,2.0
13,0.0,1.0,0.0,0.535,0.4075,0.145,0.6845,0.2725,0.171,0.205,2.0
14,0.0,1.0,0.0,0.47,0.355,0.1,0.4755,0.1675,0.10459375,0.185,2.0
15,1.0,0.0,0.0,0.51296875,0.4,0.13,0.6645,0.258,0.133,0.24,2.0
16,0.0,0.0,1.0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,2.0
17,0.0,1.0,0.0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,2.0
18,1.0,0.0,0.0,0.37703125,0.295,0.08,0.2555,0.09699999999999999,0.058890625,0.1,2.0
19,1.0,0.0,0.0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,2.0
20,1.0,0.0,0.0,0.37078125,0.28,0.095,0.2455,0.0955,0.062,0.075,2.0
21,0.0,0.0,1.0,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,2.0
22,0.0,1.0,0.0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,2.0
23,0.0,1.0,0.0,0.55,0.415,0.14,0.7635,0.318,0.21,0.2,2.0
24,0.0,1.0,0.0,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,2.0
25,0.0,1.0,0.0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,2.0
26,0.0,1.0,0.0,0.5887500000000001,0.45,0.185,1.0385625,0.3945,0.272,0.285,2.0
27,1.0,0.0,0.0,0.59,0.445,0.14,0.9593906249999999,0.356,0.234,0.28,2.0
28,1.0,0.0,0.0,0.605,0.44515625000000003,0.18,0.9365,0.394,0.219,0.295,3.0
29,1.0,0.0,0.0,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,2.0
30,1.0,0.0,0.0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,2.0
31,0.0,1.0,0.0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.48675,3.0
32,1.0,0.0,0.0,0.665,0.525,0.165,1.338,0.5069375,0.267578125,0.35,3.0
33,0.0,1.0,0.0,0.68,0.55,0.1853125,1.798,0.815,0.31299999999999994,0.455,4.0
34,0.0,1.0,0.0,0.705,0.5409375,0.2,1.7095,0.633,0.34289062499999995,0.49,3.0
35,1.0,0.0,0.0,0.465,0.355,0.105,0.4795,0.205546875,0.124,0.153796875,2.0
36,0.0,1.0,0.0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.361203125,3.0
37,0.0,1.0,0.0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,2.0
38,0.0,1.0,0.0,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,2.0
39,1.0,0.0,0.0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,2.0
40,0.0,1.0,0.0,0.45,0.335,0.105,0.425,0.1865,0.09859375000000001,0.115,2.0
41,0.0,1.0,0.0,0.55,0.425,0.135,0.8515,0.32375,0.196,0.27,3.0
42,0.0,0.0,1.0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,1.0
43,0.0,0.0,1.0,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,1.0
44,0.0,0.0,1.0,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,1.0
45,0.0,0.0,1.0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,2.0
46,1.0,0.0,0.0,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,2.0
47,0.0,1.0,0.0,0.46,0.375,0.12,0.49339062499999997,0.214484375,0.11,0.15,2.0
48,0.0,0.0,1.0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,1.0
49,0.0,1.0,0.0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,2.0
50,0.0,0.0,1.0,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,2.0
51,1.0,0.0,0.0,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,2.0
52,1.0,0.0,0.0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.165578125,2.0
53,0.0,1.0,0.0,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,2.0
54,1.0,0.0,0.0,0.405,0.31,0.10859375,0.385,0.173,0.0915,0.11,2.0
55,0.0,1.0,0.0,0.5203125000000001,0.4,0.14,0.6615,0.2565,0.1755,0.22,2.0
56,1.0,0.0,0.0,0.4490624999999999,0.35015625,0.12,0.4425,0.192,0.0955,0.135,2.0
57,1.0,0.0,0.0,0.47,0.385,0.135,0.5895,0.27032812500000003,0.12,0.17,2.0
58,0.0,0.0,1.0,0.245,0.19,0.06,0.086,0.042,0.014,0.02409375,1.0
59,0.0,1.0,0.0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,2.0
60,1.0,0.0,0.0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,2.0
61,1.0,0.0,0.0,0.505,0.405,0.11,0.625,0.305,0.16,0.175,2.0
62,0.0,1.0,0.0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,2.0
63,1.0,0.0,0.0,0.425,0.325,0.095,0.37959374999999995,0.1705,0.08,0.1,2.0
64,1.0,0.0,0.0,0.52,0.4,0.12,0.58,0.234,0.1315,0.176984375,2.0
65,1.0,0.0,0.0,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,2.0
66,0.0,1.0,0.0,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,2.0
67,0.0,1.0,0.0,0.595,0.495,0.185,1.285,0.416,0.224,0.485,3.0
68,0.0,1.0,0.0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.15982812500000002,2.0
69,0.0,0.0,1.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,1.0
70,1.0,0.0,0.0,0.555,0.425,0.14625000000000002,0.7665,0.29753125,0.168,0.275,3.0
71,0.0,1.0,0.0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,2.0
72,0.0,1.0,0.0,0.595,0.475,0.17,1.247,0.42896875,0.225,0.425,4.0
73,1.0,0.0,0.0,0.57,0.48,0.175,1.185,0.474,0.261,0.38,2.0
74,0.0,1.0,0.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,3.0
75,0.0,1.0,0.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,3.0
76,1.0,0.0,0.0,0.595,0.475,0.14,0.9440000000000001,0.3625,0.189,0.315,2.0
77,0.0,1.0,0.0,0.57109375,0.47,0.15,0.922,0.363,0.194,0.305,2.0
78,0.0,1.0,0.0,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,2.0
79,0.0,1.0,0.0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.35407812499999997,3.0
80,0.0,1.0,0.0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,2.0
81,1.0,0.0,0.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,2.0
82,0.0,1.0,0.0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,3.0
83,1.0,0.0,0.0,0.595,0.48140625000000004,0.16,1.3175,0.408,0.234,0.58,4.0
84,1.0,0.0,0.0,0.58,0.45,0.14,1.013,0.38,0.216,0.36,3.0
85,0.0,1.0,0.0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,2.0
86,1.0,0.0,0.0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,3.0
87,1.0,0.0,0.0,0.56,0.44328124999999996,0.16,0.8645,0.3305,0.2075,0.26287499999999997,2.0
88,0.0,1.0,0.0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,2.0
89,0.0,1.0,0.0,0.575,0.454375,0.16,0.9775,0.3135,0.209296875,0.33,2.0
90,1.0,0.0,0.0,0.565,0.425,0.135,0.8844687499999999,0.341,0.1675,0.255,3.0
91,1.0,0.0,0.0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,2.0
92,1.0,0.0,0.0,0.595,0.465,0.175,1.115,0.4015,0.254,0.34395312499999997,3.0
93,0.0,1.0,0.0,0.625,0.495,0.165,1.262,0.507,0.318,0.39,2.0
94,1.0,0.0,0.0,0.695,0.56,0.1921875,1.494,0.588,0.3425,0.485,3.0
95,1.0,0.0,0.0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,3.0
96,1.0,0.0,0.0,0.535,0.435,0.15,0.739125,0.269,0.1385,0.25,2.0
97,1.0,0.0,0.0,0.47,0.375,0.13,0.523,0.214,0.132,0.145,2.0
98,1.0,0.0,0.0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,2.0
99,0.0,1.0,0.0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.16962500000000003,2.0
100,0.0,0.0,1.0,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,2.0
101,1.0,0.0,0.0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,3.0
102,1.0,0.0,0.0,0.53,0.435,0.16,0.87775,0.316,0.164,0.335,3.0
103,1.0,0.0,0.0,0.53,0.415,0.14,0.7240000000000001,0.3105,0.1675,0.205,2.0
104,1.0,0.0,0.0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,2.0
105,0.0,1.0,0.0,0.528125,0.41,0.155,0.727,0.291,0.1835,0.22584375,2.0
106,0.0,1.0,0.0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,2.0
107,0.0,1.0,0.0,0.51703125,0.4,0.125,0.6675,0.261,0.1315,0.22,2.0
108,0.0,1.0,0.0,0.5020312499999999,0.39,0.135,0.6335,0.231,0.179,0.2,2.0
109,0.0,1.0,0.0,0.435,0.395,0.105,0.42189062499999996,0.136,0.09309375,0.13,2.0
110,1.0,0.0,0.0,0.495,0.3784375,0.125,0.5415,0.2375,0.1345,0.155,2.0
111,1.0,0.0,0.0,0.465,0.36,0.105,0.431,0.172,0.107,0.175,2.0
112,0.0,0.0,1.0,0.435,0.32,0.10234375000000001,0.3449375,0.1485,0.0635,0.105,2.0
113,1.0,0.0,0.0,0.425,0.35,0.11031250000000001,0.393,0.13,0.063,0.165,2.0
114,0.0,1.0,0.0,0.545,0.41,0.125,0.6935,0.30140625,0.146,0.21,2.0
115,0.0,1.0,0.0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,2.0
116,0.0,1.0,0.0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,2.0
117,1.0,0.0,0.0,0.44,0.34,0.105,0.402,0.1305,0.0955,0.1274375,2.0
118,0.0,1.0,0.0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,2.0
119,1.0,0.0,0.0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,2.0
120,0.0,1.0,0.0,0.44640625,0.365,0.105,0.4205,0.163,0.1035,0.14,2.0
