,Male,Female,Infant,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
0,1,0,0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,3
1,1,0,0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,2
2,0,1,0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,2
3,1,0,0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,2
4,0,0,1,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,2
5,0,0,1,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,2
6,0,1,0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,4
7,0,1,0,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,3
8,1,0,0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,2
9,0,1,0,0.55,0.44,0.13971941489361667,0.8945,0.3145,0.151,0.32,4
10,0,1,0,0.525,0.4074002659574476,0.14,0.6065,0.194,0.1475,0.21,3
11,1,0,0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,2
12,1,0,0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,2
13,0,1,0,0.535,0.4074002659574476,0.145,0.6845,0.2725,0.171,0.205,2
14,0,1,0,0.47,0.355,0.1,0.4755,0.1675,0.1807223404255324,0.185,2
15,1,0,0,0.525,0.4,0.13,0.6645,0.258,0.133,0.24,2
16,0,0,1,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,2
17,0,1,0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,2
18,1,0,0,0.525,0.295,0.08,0.2555,0.09699999999999999,0.1807223404255324,0.1,2
19,1,0,0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,2
20,1,0,0,0.525,0.28,0.095,0.2455,0.0955,0.062,0.075,2
21,0,0,1,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,2
22,0,1,0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,2
23,0,1,0,0.55,0.415,0.13971941489361667,0.7635,0.318,0.21,0.2,2
24,0,1,0,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,2
25,0,1,0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,2
26,0,1,0,0.525,0.45,0.185,0.828341090425534,0.3945,0.272,0.285,2
27,1,0,0,0.59,0.445,0.14,0.828341090425534,0.356,0.234,0.28,2
28,1,0,0,0.605,0.4074002659574476,0.18,0.9365,0.394,0.219,0.295,3
29,1,0,0,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,2
30,1,0,0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,2
31,0,1,0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.23858005319148942,3
32,1,0,0,0.665,0.525,0.165,1.338,0.35964255319148886,0.1807223404255324,0.35,3
33,0,1,0,0.68,0.55,0.13971941489361667,1.798,0.815,0.1807223404255324,0.455,4
34,0,1,0,0.705,0.4074002659574476,0.2,1.7095,0.633,0.1807223404255324,0.49,3
35,1,0,0,0.465,0.355,0.105,0.4795,0.35964255319148886,0.124,0.23858005319148942,2
36,0,1,0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.23858005319148942,3
37,0,1,0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,2
38,0,1,0,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,2
39,1,0,0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,2
40,0,1,0,0.45,0.335,0.105,0.425,0.1865,0.1807223404255324,0.115,2
41,0,1,0,0.55,0.425,0.135,0.8515,0.35964255319148886,0.196,0.27,3
42,0,0,1,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,1
43,0,0,1,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,1
44,0,0,1,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,1
45,0,0,1,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,2
46,1,0,0,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,2
47,0,1,0,0.46,0.375,0.12,0.828341090425534,0.35964255319148886,0.11,0.15,2
48,0,0,1,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,1
49,0,1,0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,2
50,0,0,1,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,2
51,1,0,0,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,2
52,1,0,0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.23858005319148942,2
53,0,1,0,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,2
54,1,0,0,0.405,0.31,0.13971941489361667,0.385,0.173,0.0915,0.11,2
55,0,1,0,0.525,0.4,0.14,0.6615,0.2565,0.1755,0.22,2
56,1,0,0,0.525,0.4074002659574476,0.12,0.4425,0.192,0.0955,0.135,2
57,1,0,0,0.47,0.385,0.135,0.5895,0.35964255319148886,0.12,0.17,2
58,0,0,1,0.245,0.19,0.06,0.086,0.042,0.014,0.23858005319148942,1
59,0,1,0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,2
60,1,0,0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,2
61,1,0,0,0.505,0.405,0.11,0.625,0.305,0.16,0.175,2
62,0,1,0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,2
63,1,0,0,0.425,0.325,0.095,0.828341090425534,0.1705,0.08,0.1,2
64,1,0,0,0.52,0.4,0.12,0.58,0.234,0.1315,0.23858005319148942,2
65,1,0,0,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,2
66,0,1,0,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,2
67,0,1,0,0.595,0.495,0.185,1.285,0.416,0.224,0.485,3
68,0,1,0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.23858005319148942,2
69,0,0,1,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,1
70,1,0,0,0.555,0.425,0.13971941489361667,0.7665,0.35964255319148886,0.168,0.275,3
71,0,1,0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,2
